. дело в том , что :  count:32  textCnt:32
, сообщаю риа новость . в :  count:23  textCnt:23
. как сообщаю агентство reuters , :  count:21  textCnt:21
, сообщаюсь на сайт bbc news :  count:21  textCnt:21
сообщаюсь на сайт bbc news . :  count:20  textCnt:20
. как сообщаю bbc news , :  count:20  textCnt:20
. несмотря на то , что :  count:20  textCnt:20
. по его слово , в :  count:17  textCnt:17
сообщаю риа новость . о это :  count:14  textCnt:14
, сообщаю риа новость . о :  count:14  textCnt:14
, сообщаю defense industry daily . :  count:12  textCnt:12
, сообщаю риа новость . по :  count:12  textCnt:12
, передаю агентство риа новость . :  count:11  textCnt:11
. как сообщаю associated press , :  count:11  textCnt:11
. как сообщаюсь на сайт газета :  count:11  textCnt:11
риа новость . о это заявил :  count:11  textCnt:11
. как сообщаю риа новость , :  count:11  textCnt:11
, несмотря на то , что :  count:10  textCnt:9
по аэронавтика и исследование космический пространство :  count:10  textCnt:10
, передаю агентство associated press . :  count:9  textCnt:9
. о это , как передаю :  count:9  textCnt:9
сообщаю риа новость с ссылка на :  count:9  textCnt:9
ракета носитель среднее класс молния м :  count:9  textCnt:9
, сообщаю корреспондент лента . ру :  count:9  textCnt:9
, сообщаю риа новость . как :  count:9  textCnt:9
сообщаюсь на сайт space . com :  count:8  textCnt:8
агентство по аэронавтика и исследование космический :  count:8  textCnt:8
сообщаю корреспондент лента . ру . :  count:8  textCnt:8
молния м с военный спутник связь :  count:8  textCnt:8
носитель среднее класс молния м с :  count:8  textCnt:8
. по его слово , на :  count:8  textCnt:8
в связь с тем , что :  count:8  textCnt:8
есть отделиться второй ступень , произошёл :  count:7  textCnt:7
с военный спутник связь молния 3к :  count:7  textCnt:7
аэронавтика и исследование космический пространство nasa :  count:7  textCnt:7
военный спутник связь молния 3к стартовал :  count:7  textCnt:7
молния 3к стартовал с космодром плесецк :  count:7  textCnt:7
спутник связь молния 3к стартовал с :  count:7  textCnt:7
. на орбита сатурн cassini вышел :  count:7  textCnt:7
класс молния м с военный спутник :  count:7  textCnt:7
должен есть отделиться второй ступень , :  count:7  textCnt:7
отделиться второй ступень , произошёл аварийный :  count:7  textCnt:7
произошёл аварийный остановка двигатель , и :  count:7  textCnt:7
на орбита сатурн cassini вышел в :  count:7  textCnt:7
, передаю риа новость . как :  count:7  textCnt:7
среднее класс молния м с военный :  count:7  textCnt:7
м с военный спутник связь молния :  count:7  textCnt:7
. космический аппарат cassini huygens есть :  count:7  textCnt:7
, сообщаю риа новость . с :  count:7  textCnt:7
cassini вышел в июль 2004 год :  count:7  textCnt:7
, произошёл аварийный остановка двигатель , :  count:7  textCnt:7
запас топливо для двигатель ориентация , :  count:7  textCnt:7
второй ступень , произошёл аварийный остановка :  count:7  textCnt:7
сатурн cassini вышел в июль 2004 :  count:7  textCnt:7
по московский временю в вторник . :  count:7  textCnt:7
. о это заявил в интервью :  count:7  textCnt:7
орбита сатурн cassini вышел в июль :  count:7  textCnt:7
, сообщаюсь на сайт газета the :  count:7  textCnt:7
, в котор говорюсь , что :  count:7  textCnt:7
связь молния 3к стартовал с космодром :  count:7  textCnt:7
о это заявил в интервью агентство :  count:7  textCnt:7
космический аппарат cassini huygens есть запущен :  count:7  textCnt:7
только в том случай , если :  count:7  textCnt:6
ступень , произошёл аварийный остановка двигатель :  count:7  textCnt:7
сообщаю риа новость . по слово :  count:6  textCnt:6
по информация сайт bbc news , :  count:6  textCnt:6
обогнуть земля и венера , чтобы :  count:6  textCnt:6
. лето 1999 год аппарат последний :  count:6  textCnt:6
, сообщаюсь в пресс релиз на :  count:6  textCnt:6
и метан . по мнение учёный :  count:6  textCnt:6
в 1997 год . он пришёлся :  count:6  textCnt:6
агентство по аэронавтика и космический исследование :  count:6  textCnt:6
скорость для путешествие к сатурн . :  count:6  textCnt:6
, чтобы набрать достаточный скорость для :  count:6  textCnt:6
чтобы набрать достаточный скорость для путешествие :  count:6  textCnt:6
достаточный скорость для путешествие к сатурн :  count:6  textCnt:6
оборона рф сергей иван заявил , :  count:6  textCnt:6
лето 1999 год аппарат последний раз :  count:6  textCnt:6
, а в декабрь 2000 год :  count:6  textCnt:6
рф сергей иван заявил , что :  count:6  textCnt:6
набрать достаточный скорость для путешествие к :  count:6  textCnt:6
метан . по мнение учёный , :  count:6  textCnt:6
а также попытался получить более подробный :  count:6  textCnt:6
раз пролетел мимо земля , а :  count:6  textCnt:6
пришёлся обогнуть земля и венера , :  count:6  textCnt:6
. он пришёлся обогнуть земля и :  count:6  textCnt:6
венера , чтобы набрать достаточный скорость :  count:6  textCnt:6
пролетел мимо земля , а в :  count:6  textCnt:6
российский войско в закавказье полковник владимир :  count:6  textCnt:6
к сатурн . лето 1999 год :  count:6  textCnt:6
а в декабрь 2000 год достиг :  count:6  textCnt:6
назад , в 1997 год . :  count:6  textCnt:6
до тот пора , пока не :  count:6  textCnt:6
дело в том , что в :  count:6  textCnt:6
войско в закавказье полковник владимир купарадзе :  count:6  textCnt:6
декабрь 2000 год достиг юпитер . :  count:6  textCnt:6
. в то же время , :  count:6  textCnt:6
год аппарат последний раз пролетел мимо :  count:6  textCnt:6
путешествие к сатурн . лето 1999 :  count:6  textCnt:6
год . тогда погиб весь семь :  count:6  textCnt:6
попытался получить более подробный информация о :  count:6  textCnt:6
сатурн . лето 1999 год аппарат :  count:6  textCnt:6
1999 год аппарат последний раз пролетел :  count:6  textCnt:6
мимо земля , а в декабрь :  count:6  textCnt:6
