. кроме того , :  count:282  textCnt:261
, сообщаю риа новость :  count:153  textCnt:153
сообщаю риа новость . :  count:151  textCnt:151
по его слово , :  count:149  textCnt:134
. по его слово :  count:130  textCnt:121
, сообщаюсь на сайт :  count:108  textCnt:108
о том , что :  count:103  textCnt:91
. в настоящее время :  count:96  textCnt:93
. между тем , :  count:91  textCnt:84
после того , как :  count:89  textCnt:86
. напомнил , что :  count:85  textCnt:82
в том , что :  count:83  textCnt:80
для того , чтобы :  count:81  textCnt:73
, в том число :  count:71  textCnt:69
. в частность , :  count:70  textCnt:68
. предполагаюсь , что :  count:64  textCnt:62
, сообщаю reuters . :  count:61  textCnt:61
на то , что :  count:51  textCnt:50
сообщаюсь на сайт газета :  count:49  textCnt:49
по московский временю . :  count:48  textCnt:45
, в частность , :  count:48  textCnt:48
, передаю риа новость :  count:44  textCnt:44
сообщаю associated press . :  count:43  textCnt:43
, сообщаю bbc news :  count:42  textCnt:41
, сообщаю associated press :  count:42  textCnt:42
передаю риа новость . :  count:42  textCnt:42
. по слово представитель :  count:40  textCnt:39
по мнение учёный , :  count:39  textCnt:38
. тем не менее :  count:39  textCnt:39
. о это заявил :  count:39  textCnt:39
выход в открытый космос :  count:38  textCnt:31
сообщаю bbc news . :  count:38  textCnt:37
. ожидаюсь , что :  count:36  textCnt:36
тем не менее , :  count:36  textCnt:36
кроме того , в :  count:36  textCnt:36
учёный считаю , что :  count:36  textCnt:34
. как сообщаю агентство :  count:34  textCnt:34
в открытый космос . :  count:34  textCnt:28
дело в том , :  count:33  textCnt:33
. дело в том :  count:33  textCnt:33
к том , что :  count:33  textCnt:27
к вывод , что :  count:32  textCnt:31
, сказал он . :  count:32  textCnt:32
несмотря на то , :  count:32  textCnt:31
по его мнение , :  count:31  textCnt:30
. как сообщаюсь на :  count:31  textCnt:30
как сообщаюсь на сайт :  count:30  textCnt:29
. планируюсь , что :  count:30  textCnt:30
. по мнение учёный :  count:29  textCnt:28
. такой образ , :  count:28  textCnt:27
километр в час . :  count:28  textCnt:26
пришёл к вывод , :  count:27  textCnt:26
в свой очередь , :  count:27  textCnt:27
на международный космический станция :  count:27  textCnt:27
, в настоящее время :  count:26  textCnt:26
. вместе с тем :  count:26  textCnt:26
на сайт bbc news :  count:26  textCnt:26
учёный полагаю , что :  count:25  textCnt:24
как сообщаюсь ранее , :  count:24  textCnt:24
в февраль 2003 год :  count:24  textCnt:24
риа новость . в :  count:24  textCnt:24
, сообщаю интерфакс . :  count:24  textCnt:24
сообщаю агентство reuters , :  count:24  textCnt:24
. о это сообщаю :  count:24  textCnt:24
как сообщаю агентство reuters :  count:24  textCnt:24
. несмотря на то :  count:23  textCnt:23
международный космический станция мкс :  count:23  textCnt:23
сообщаюсь в пресс релиз :  count:23  textCnt:23
. по его мнение :  count:23  textCnt:23
до тот пора , :  count:23  textCnt:20
тот пора , пока :  count:23  textCnt:20
сайт bbc news . :  count:23  textCnt:23
, заявил , что :  count:22  textCnt:22
сообщаюсь на сайт bbc :  count:22  textCnt:22
, сообщаю ap . :  count:22  textCnt:22
, скорее весь , :  count:22  textCnt:22
. учёный считаю , :  count:22  textCnt:22
. как ожидаюсь , :  count:22  textCnt:21
. напомнил , в :  count:21  textCnt:21
в том число и :  count:21  textCnt:21
по слово учёный , :  count:21  textCnt:21
. о это сообщил :  count:21  textCnt:21
. считаюсь , что :  count:21  textCnt:21
световы год от земля :  count:21  textCnt:19
риа новость . по :  count:21  textCnt:21
в настоящее время в :  count:21  textCnt:21
напомнил , что в :  count:21  textCnt:21
